Geschlecht,bmi
m,21.132713440405748
m,24.930747922437675
m,23.120623596247853
m,24.69135802469136
m,23.38868655818771
m,16.9061707523246
m,22.92097107438017
m,20.603780345785182
m,23.76543209876543
m,20.98765432098765
m,21.447567845806283
m,22.229061933586404
m,21.56190926275992
m,24.212293388429753
m,21.678806798473808
m,24.337479718766904
m,22.79035792549306
m,19.66230766829999
m,22.152646502835537
m,21.604938271604937
m,24.489795918367346
m,22.877405702193368
m,24.111507464658473
m,17.398736302310674
m,18.125235115078144
m,20.91070815517618
m,19.62323390894819
m,21.132713440405748
m,23.456790123456788
m,22.40817898532965
m,24.622960911049557
m,22.395789591556788
m,21.45328719723184
m,21.97735111870822
m,25.46938775510204
m,26.782981328435874
m,20.679012345679013
m,23.243801652892564
m,25.61728395061728
m,22.229061933586404
m,21.05263157894737
m,23.23563170124017
m,23.450918219051392
m,27.776929886145112
m,24.835646457268076
w,21.545090797168363
w,24.538964901844142
w,23.529411764705884
w,23.355636914530994
w,17.474717430101133
w,24.00548696844993
w,22.308149910767405
w,20.43816558499767
w,20.06920415224914
w,23.030045351473927
w,19.467401285583104
w,23.1084345786212
w,21.513858510523864
w,21.453573713726524
w,22.03856749311295
w,19.834710743801654
w,19.13265306122449
w,18.36547291092746
w,22.67995240928019
w,22.49134948096886
w,20.703124999999996
w,17.17532038578412
w,19.94805976890361
w,23.030045351473927
w,19.94805976890361
w,19.705532421177875
w,20.9572742022715
w,21.29529475392104
w,22.20633068613798
w,19.15119181970521
w,19.031141868512112
w,20.904195011337873
w,18.51851851851852
w,22.942130453700404
w,19.19530279649215
w,21.04804761213529
w,19.705532421177875
w,20.936639118457304
w,20.936639118457304
w,20.957171162932475
w,23.306680053067517
w,19.5964581216432
w,19.444444444444443
w,23.875114784205696
w,19.377162629757787
